Artikel,Kalimat,Teks,Tag
Artikel1,Kalimat1,ketua,O
,Kalimat1,umum,O
,Kalimat1,pan,B-ORG
,Kalimat1,zulkifli,B-PER
,Kalimat1,hasan,I-PER
,Kalimat1,(,O
,Kalimat1,zulhas,B-PER
,Kalimat1,),O
,Kalimat1,optimistis,O
,Kalimat1,pan,B-ORG
,Kalimat1,dan,O
,Kalimat1,gibran,B-PER
,Kalimat1,prabowo,B-PER
,Kalimat1,bisa,O
,Kalimat1,menang,O
,Kalimat1,di,O
,Kalimat1,tegal,B-LOC
,Kalimat1,.,O
,Kalimat2,``,O
,Kalimat2,atusiasme,O
,Kalimat2,masyarakat,O
,Kalimat2,kabupaten,O
,Kalimat2,tegal,B-LOC
,Kalimat2,luar,O
,Kalimat2,biasa,O
,Kalimat2,saya,O
,Kalimat2,terima,O
,Kalimat2,kasih,O
,Kalimat2,",",O
,Kalimat2,apresiasi,O
,Kalimat2,tinggi,O
,Kalimat2,terhadap,O
,Kalimat2,kabupaten,O
,Kalimat2,tegal,B-LOC
,Kalimat2,walaupun,O
,Kalimat2,mendadak,O
,Kalimat2,tapi,O
,Kalimat2,menghadiri,O
,Kalimat2,kampanye,O
,Kalimat2,pan,B-ORG
,Kalimat2,ramai,O
,Kalimat2,sekali,O
,Kalimat2,",",O
,Kalimat2,',O
,Kalimat2,kata,O
,Kalimat2,zulhas,B-PER
,Kalimat2,saat,O
,Kalimat2,berkampanye,O
,Kalimat2,di,O
,Kalimat2,kabupaten,O
,Kalimat2,tegal,B-LOC
,Kalimat2,",",O
,Kalimat2,jawa,B-LOC
,Kalimat2,tengah,I-LOC
,Kalimat2,",",O
,Kalimat2,senin,B-TIM
,Kalimat2,(,O
,Kalimat2,25/12/2023,I-TIM
,Kalimat2,),O
,Kalimat2,.,O
,Kalimat3,pantauan,O
,Kalimat3,detikcom,B-ORG
,Kalimat3,",",O
,Kalimat3,sejumlah,O
,Kalimat3,titik,O
,Kalimat3,lokasi,O
,Kalimat3,kampanye,O
,Kalimat3,pan,B-ORG
,Kalimat3,nampak,O
,Kalimat3,begitu,O
,Kalimat3,ramai,O
,Kalimat3,dihadiri,O
,Kalimat3,oleh,O
,Kalimat3,warga,O
,Kalimat3,dan,O
,Kalimat3,kader,O
,Kalimat3,pan,B-ORG
,Kalimat3,.,O
,Kalimat4,tak,O
,Kalimat4,jarang,O
,Kalimat4,mereka,O
,Kalimat4,turut,O
,Kalimat4,menyanyikan,O
,Kalimat4,lagu,O
,Kalimat4,pan,B-ORG
,Kalimat4,pan,B-ORG
,Kalimat4,pan,B-ORG
,Kalimat4,.,O
,Kalimat5,``,O
,Kalimat5,mudah-mudahan,O
,Kalimat5,antusias,O
,Kalimat5,semangat,O
,Kalimat5,gairah,O
,Kalimat5,masyarakat,O
,Kalimat5,tegal,B-LOC
,Kalimat5,yang,O
,Kalimat5,begitu,O
,Kalimat5,luar,O
,Kalimat5,biasa,O
,Kalimat5,ini,O
,Kalimat5,bakal,O
,Kalimat5,memenangkan,O
,Kalimat5,pan,B-ORG
,Kalimat5,di,O
,Kalimat5,kabupaten,O
,Kalimat5,tegal,B-LOC
,Kalimat5,dan,O
,Kalimat5,juga,O
,Kalimat5,menangkan,O
,Kalimat5,gibran,B-PER
,Kalimat5,prabowo,I-PER
,Kalimat5,",",O
,Kalimat5,',O
,Kalimat5,harap,O
,Kalimat5,zulhas,B-PER
,Kalimat5,.,O
Artikel2,Kalimat6,wakil,O
,Kalimat6,ketua,O
,Kalimat6,umum,O
,Kalimat6,pkb,B-ORG
,Kalimat6,",",O
,Kalimat6,jazilu,B-PER
,Kalimat6,fawaid,I-PER
,Kalimat6,atau,O
,Kalimat6,gus,O
,Kalimat6,jazil,B-PER
,Kalimat6,merespon,O
,Kalimat6,bantahan,O
